SR NO.,Player,Match,Inns,NOT OUT,Runs,HS,Ave,SR,BF,100,50
1,SR Tendulkar,463,452,41,18426,200,44.83,86.23,21368,49,96
2,V Kohli,292,280,44,13848,183,58.67,93.58,14798,50,72
3,SC Ganguly,308,297,23,11221,183,40.95,73.65,15236,22,71
4,R Dravid,340,314,39,10768,153,39.15,71.18,15128,12,82
5,RG Sharma,262,254,36,10709,264,49.12,91.97,11644,31,55
6,MS Dhoni,347,294,83,10599,183,50.23,87.13,12165,9,73
7,M Azharuddin,334,308,54,9378,153,36.92,74.02,12670,7,58
8,Yuvraj Singh,301,275,39,8609,150,36.47,87.43,9847,14,52
9,V Sehwag,241,235,9,7995,219,35.37,104.44,7655,15,37
10,S Dhawan,167,164,10,6793,143,44.11,91.35,7436,17,39
11,SK Raina,226,194,35,5615,116,35.31,93.5,6005,5,36
12,A Jadeja,196,179,36,5359,119,37.47,69.79,7679,6,30
13,G Gambhir,147,143,11,5238,150,39.68,85.25,6144,11,34
14,NS Sidhu,136,127,8,4413,134,37.08,69.72,6330,6,33
15,K Srikkanth,146,145,4,4091,123,29.01,71.74,5703,4,27
16,N Kapil Dev,225,198,39,3783,175,23.79,95.07,3979,1,14
17,DB Vengsarkar,129,120,19,3508,105,34.73,67.73,5179,1,23
18,RJ Shastri,150,128,21,3108,109,29.04,61.07,5089,4,18
19,SM Gavaskar,108,102,14,3092,103,35.13,62.26,4966,1,27
20,AM Rahane,90,87,3,2962,111,35.26,78.63,3767,3,24
21,KL Rahul,75,70,14,2820,112,50.35,87.82,3211,7,18
22,RA Jadeja,197,132,47,2756,87,32.42,85.06,3240,0,13
23,M Kaif,125,110,24,2753,111,32.01,72.03,3822,2,17
24,VG Kambli,104,97,21,2477,106,32.59,71.94,3443,2,14
25,SS Iyer,59,54,6,2383,128,49.64,101.27,2353,5,18
26,VVS Laxman,86,83,7,2338,131,30.76,71.23,3282,6,10
27,RR Singh,136,113,23,2336,100,25.95,74.3,3144,1,9
28,Shubman Gill,44,44,7,2271,208,61.37,103.46,2195,6,13
29,SV Manjrekar,74,70,10,1994,105,33.23,64.3,3101,1,15
30,M Amarnath,85,75,12,1924,102,30.53,57.7,3334,2,13
31,M Prabhakar,130,98,21,1858,106,24.12,60.26,3083,2,11
32,HH Pandya,86,61,9,1769,92,34.01,110.35,1603,0,11
33,KD Karthik,94,79,21,1752,79,30.2,73.24,2392,0,9
34,AT Rayudu,55,50,14,1694,124,47.05,79.04,2143,3,10
35,IK Pathan,120,87,21,1544,83,23.39,79.54,1941,0,5
36,KM Jadhav,73,52,19,1389,120,42.09,101.6,1367,2,6
37,NR Mongia,140,96,33,1272,69,20.19,68.94,1845,0,2
38,AB Agarkar,191,113,26,1269,95,14.58,80.62,1574,0,3
39,D Mongia,57,51,7,1230,159,27.95,71.47,1721,1,4
40,Harbhajan Singh,234,126,35,1213,49,13.32,80.75,1502,0,0
41,SM Patil,45,42,1,1005,84,24.51,82.17,1223,0,9
42,RV Uthappa,46,42,6,934,86,25.94,90.59,1031,0,6
43,Ishan Kishan,27,24,2,933,210,42.4,102.19,913,1,7
44,A Kumble,269,134,47,903,26,10.37,60.97,1481,0,0
45,Yashpal Sharma,42,40,9,883,89,28.48,63.02,1401,0,4
