SR NO.,Player,Match,Inns,Balls,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5
1,A Kumble,269,263,14376,2396,109,10300,334,30.83,4.29,43.04,8,2
2,J Srinath,229,227,11935,1989.1,137,8847,315,28.08,4.44,37.88,7,3
3,AB Agarkar,191,188,9484,1580.4,100,8021,288,27.85,5.07,32.93,10,2
4,Z Khan,194,191,9815,1635.5,112,8102,269,30.11,4.95,36.48,7,1
5,Harbhajan Singh,234,225,12359,2059.5,83,8872,265,33.47,4.3,46.63,2,3
6,N Kapil Dev,225,221,11202,1867,235,6945,253,27.45,3.71,44.27,3,1
7,RA Jadeja,197,189,9750,1625,56,7936,220,36.07,4.88,44.31,7,2
8,BKV Prasad,161,160,8129,1354.5,79,6332,196,32.3,4.67,41.47,3,1
9,Mohammed Shami,101,100,4985,830.5,51,4618,195,23.68,5.55,25.56,10,5
10,IK Pathan,120,118,5855,975.5,53,5142,173,29.72,5.26,33.84,5,2
11,Kuldeep Yadav,103,100,5189,864.5,29,4370,168,26.01,5.05,30.88,7,2
12,M Prabhakar,130,127,6360,1060,76,4534,157,28.87,4.27,40.5,4,2
13,R Ashwin,116,114,6303,1050.3,37,5180,156,33.2,4.93,40.4,1,0
14,A Nehra,117,117,5637,939.3,53,4899,155,31.6,5.21,36.36,5,2
15,SR Tendulkar,463,270,8054,1342.2,24,6850,154,44.48,5.1,52.29,4,2
16,JJ Bumrah,89,88,4580,763.2,57,3509,149,23.55,4.59,30.73,6,2
17,B Kumar,121,120,5847,974.3,68,4951,141,35.11,5.08,41.46,4,1
18,RJ Shastri,150,136,6613,1102.1,56,4650,129,36.04,4.21,51.26,2,1
19,YS Chahal,72,69,3739,623.1,14,3283,121,27.13,5.26,30.9,5,2
20,I Sharma,80,78,3733,622.1,29,3563,115,30.98,5.72,32.46,6,0
21,Yuvraj Singh,301,158,4988,831.2,18,4227,110,38.42,5.08,45.34,2,1
22,UT Yadav,75,73,3558,593,23,3565,106,33.63,6.01,33.56,4,0
23,SC Ganguly,308,170,4543,757.1,30,3835,100,38.35,5.06,45.43,1,2
24,V Sehwag,241,142,4290,715,13,3737,94,39.75,5.22,45.63,1,0
25,MM Patel,70,67,3154,525.4,38,2603,86,30.26,4.95,36.67,3,0
26,HH Pandya,86,80,3199,533.1,15,2960,84,35.23,5.55,38.08,1,0
27,RMH Binny,72,67,2957,492.5,37,2260,77,29.35,4.58,38.4,3,0
28,P Kumar,68,67,3242,540.2,45,2774,77,36.02,5.13,42.1,3,0
29,S Sreesanth,53,52,2476,412.4,16,2508,75,33.44,6.07,33.01,2,1
30,S Madan Lal,67,64,3164,0,44,2137,73,29.27,4.05,43.34,2,0
31,RP Singh,58,57,2565,427.3,31,2343,69,33.95,5.48,37.17,2,0
32,SB Joshi,69,67,3386,564.2,33,2509,69,36.36,4.44,49.07,1,1
33,RR Singh,136,117,3734,622.2,28,2985,69,43.26,4.79,54.11,0,2
34,Mohammed Siraj,41,40,1825,304.1,29,1550,68,22.79,5.09,26.83,2,1
35,C Sharma,65,63,2835,472.3,19,2336,67,34.86,4.94,42.31,0,0
36,Maninder Singh,59,57,3133,522.1,33,2066,66,31.3,3.95,47.46,1,0
37,SN Thakur,47,46,1940,323.2,10,2014,65,30.98,6.22,29.84,3,0
